index,date,State,region,blockchain,gekyume,ibf,incel,jit,juuling,mukbang,rng,uwu,zaddy
0,12/27/2015,Alabama,AL,0,0,0.02433,0,0.02433,0,0,0.02441,0,0
1,12/27/2015,Alaska,AK,0,0,0,0,0.1167,0,0,0,0,0
2,12/27/2015,Arizona,AZ,0,0,0,0,0.01191,0,0,0,0,0
3,12/27/2015,Arkansas,AR,0,0,0,0,0,0,0,0,0,0
4,12/27/2015,California,CA,0.0252,0,0.00194,0.00194,0.00582,0,0.00291,0.01648,0.00194,0.00194
5,12/27/2015,Colorado,CO,0.02076,0,0,0,0.02765,0,0,0.02768,0,0.01383
6,12/27/2015,Connecticut,CT,0.02253,0,0,0,0.02268,0,0,0.02253,0,0
7,12/27/2015,Delaware,DE,0,0,0,0,0,0,0,0,0,0
8,12/27/2015,District of Columbia,DC,0.01632,0,0,0,0.01638,0,0,0.03251,0,0
9,12/27/2015,Florida,FL,0.02556,0,0.00341,0,0.02215,0,0,0.01533,0.00341,0
10,12/27/2015,Georgia,GA,0.01196,0,0,0,0.01196,0,0.00598,0.00897,0.00598,0.01197
11,12/27/2015,Hawaii,HI,0,0,0,0,0,0,0,0.05653,0,0
12,12/27/2015,Idaho,ID,0,0,0,0,0,0,0,0.05417,0,0
13,12/27/2015,Illinois,IL,0.01338,0,0.00535,0,0.00803,0,0,0.01605,0.00535,0.00535
14,12/27/2015,Indiana,IN,0,0,0,0,0.01765,0,0,0.01765,0,0
15,12/27/2015,Iowa,IA,0,0,0,0,0,0,0,0.06034,0,0
16,12/27/2015,Kansas,KS,0,0,0,0,0.07285,0,0,0.01457,0,0
17,12/27/2015,Kentucky,KY,0,0,0,0,0,0,0,0.02565,0,0
18,12/27/2015,Louisiana,LA,0.02582,0,0,0,0,0,0,0,0,0
19,12/27/2015,Maine,ME,0,0,0,0,0,0,0,0,0.06277,0
20,12/27/2015,Maryland,MD,0.01453,0,0.01453,0,0.0218,0,0,0.02906,0,0.01453
21,12/27/2015,Massachusetts,MA,0.02134,0,0,0,0,0,0,0.0384,0.00859,0
22,12/27/2015,Michigan,MI,0.01641,0,0,0,0.0082,0,0.00811,0.0365,0,0
23,12/27/2015,Minnesota,MN,0.03529,0,0,0,0,0,0,0.01411,0.01411,0
24,12/27/2015,Mississippi,MS,0,0,0,0,0,0,0,0,0,0
25,12/27/2015,Missouri,MO,0,0,0,0,0.03725,0,0.01489,0.02235,0,0
26,12/27/2015,Montana,MT,0,0,0,0,0,0,0,0,0,0
27,12/27/2015,Nebraska,NE,0.07449,0,0.03751,0.03699,0,0,0,0,0,0
28,12/27/2015,Nevada,NV,0,0,0,0,0.02615,0,0.02615,0.02631,0,0.02615
29,12/27/2015,New Hampshire,NH,0.06344,0,0,0,0.06344,0,0,0.12688,0,0
30,12/27/2015,New Jersey,NJ,0.02425,0,0,0,0.00807,0,0.00808,0.01619,0.0081,0
31,12/27/2015,New Mexico,NM,0.05372,0,0,0,0,0,0.05389,0.16068,0,0
32,12/27/2015,New York,NY,0.026,0,0.00609,0.00307,0.00765,0,0.00459,0.01988,0,0.00305
33,12/27/2015,North Carolina,NC,0.0276,0,0,0.00787,0.01577,0,0,0.00788,0,0
34,12/27/2015,North Dakota,ND,0,0,0,0,0,0,0,0,0,0
35,12/27/2015,Ohio,OH,0.0122,0,0,0,0.02034,0,0,0.03253,0.00814,0
36,12/27/2015,Oklahoma,OK,0,0,0,0.03038,0.04542,0,0.03019,0.03028,0,0
37,12/27/2015,Oregon,OR,0.01818,0,0,0,0,0,0.0182,0.04549,0,0
38,12/27/2015,Pennsylvania,PA,0.02701,0,0,0,0.0134,0,0.0067,0.02025,0,0
39,12/27/2015,Rhode Island,RI,0,0,0,0,0,0,0,0.069,0,0
40,12/27/2015,South Carolina,SC,0.04232,0,0,0,0.04232,0,0,0.02116,0,0
41,12/27/2015,South Dakota,SD,0,0,0,0.11842,0,0,0,0.11837,0,0
